current_id,new_id_sku,rows,product,status
10269254254908,FF-MSS-48-2T,1,Monster Universal Storage System — Single Compact 43" / 2-Tier,in
10269254254908,FF-MSS-48-3T,1,Monster Universal Storage System — Single Compact 43" / 3-Tier,in
10269254254908,FF-MSS-77-2T,1,Monster Universal Storage System — Single Standard 71" / 2-Tier,in
10269254254908,FF-MSS-77-3T,1,Monster Universal Storage System — Single Standard 71" / 3-Tier,in
10269254254908,FF-MSS-94-2T,1,Monster Universal Storage System — Dual Compact / 2-Tier,in
10269254254908,FF-MSS-94-3T,1,Monster Universal Storage System — Dual Compact / 3-Tier,in
10269254254908,FF-MSS-123-2T,1,Monster Universal Storage System — Dual Hybrid / 2-Tier,in
10269254254908,FF-MSS-123-3T,1,Monster Universal Storage System — Dual Hybrid / 3-Tier,in
10269254254908,FF-MSS-151-2T,1,Monster Universal Storage System — Dual Extended / 2-Tier,in
10269254254908,FF-MSS-151-3T,1,Monster Universal Storage System — Dual Extended / 3-Tier,in
9879098753340,FF-X12,1,X12 4 Station Functional Trainer,in
10410984964412,FFT-DCC,1,Tahoe Dual Cable Crossover,in
10393251086652,FF-RR-BPSP-43,1,Rack & Rig 43" Bench Prop w/Spotter,in
10124211355964,FF-VAIL-TR,1,Vail Torso Rotation (mpn is FF-VAIL-GM; SKU is FF-VAIL-TR),in
10112722927932,FF-RR-JBS-71-NCM,1,Rack & Rig 71" Junction Bar,in
10058504208700,FF-RR-JBS-43-NCM,1,Rack & Rig 43" Junction Bar,in
10019813589308,FF-HVD-GDR500,1,Colorful Hex Vinyl 48 Pair Dumbbell Set,in
9878464627004,FF-HPB100,1,Heavy Punching Bag 100 lb,in
10378837819708,FF-WMR20,1,Wall Mounted Foldable Squat Rack WMR20 (SKU now assigned),in
10414127087932,FF-STW-WB-3,1,StudioWall 3-Bay — EXCLUDED: REMOVE FROM FEEDS applied Sep 19; out of collection 513321435452,out
