theme_id,theme_name,role,field_key,at_risk,file,line
187010974012,Development (bff609-Ayyazs-MacBook-Pro-2),DEVELOPMENT,shipping_dims_weight_2,YES,sections/extra-info.liquid,437
187010974012,Development (bff609-Ayyazs-MacBook-Pro-2),DEVELOPMENT,list,YES,templates/product.boost-test.json,183
187010974012,Development (bff609-Ayyazs-MacBook-Pro-2),DEVELOPMENT,shipping_dims_weight_2,YES,templates/product.boost-test.json,221
187010974012,Development (bff609-Ayyazs-MacBook-Pro-2),DEVELOPMENT,list,YES,templates/product.byo-rig.json,182
187010974012,Development (bff609-Ayyazs-MacBook-Pro-2),DEVELOPMENT,shipping_dims_weight_2,YES,templates/product.byo-rig.json,189
187010974012,Development (bff609-Ayyazs-MacBook-Pro-2),DEVELOPMENT,list,YES,templates/product.combined-listings.json,188
187010974012,Development (bff609-Ayyazs-MacBook-Pro-2),DEVELOPMENT,shipping_dims_weight_2,YES,templates/product.combined-listings.json,220
187010974012,Development (bff609-Ayyazs-MacBook-Pro-2),DEVELOPMENT,list,YES,templates/product.customised-product.json,192
187010974012,Development (bff609-Ayyazs-MacBook-Pro-2),DEVELOPMENT,shipping_dims_weight_2,YES,templates/product.customised-product.json,224
187010974012,Development (bff609-Ayyazs-MacBook-Pro-2),DEVELOPMENT,list,YES,templates/product.discontinued.json,194
187010974012,Development (bff609-Ayyazs-MacBook-Pro-2),DEVELOPMENT,shipping_dims_weight_2,YES,templates/product.discontinued.json,232
187010974012,Development (bff609-Ayyazs-MacBook-Pro-2),DEVELOPMENT,list,YES,templates/product.gift_cards.json,184
187010974012,Development (bff609-Ayyazs-MacBook-Pro-2),DEVELOPMENT,shipping_dims_weight_2,YES,templates/product.gift_cards.json,216
187010974012,Development (bff609-Ayyazs-MacBook-Pro-2),DEVELOPMENT,list,YES,templates/product.gym-package.json,208
187010974012,Development (bff609-Ayyazs-MacBook-Pro-2),DEVELOPMENT,shipping_dims_weight,YES,templates/product.gym-package.json,215
187010974012,Development (bff609-Ayyazs-MacBook-Pro-2),DEVELOPMENT,list,YES,templates/product.json,182
187010974012,Development (bff609-Ayyazs-MacBook-Pro-2),DEVELOPMENT,shipping_dims_weight_2,YES,templates/product.json,220
187010974012,Development (bff609-Ayyazs-MacBook-Pro-2),DEVELOPMENT,exercises,YES,templates/product.pdp-new.json,55
187010974012,Development (bff609-Ayyazs-MacBook-Pro-2),DEVELOPMENT,list,YES,templates/product.shopify-product-option.json,187
187010974012,Development (bff609-Ayyazs-MacBook-Pro-2),DEVELOPMENT,shipping_dims_weight_2,YES,templates/product.shopify-product-option.json,219
