metaobject_id,handle,display_name,created_at,updated_at,populated_field_count,populated_fields,in_true_duplicate_group,proof_of_non_reference
136669528380,body-craft-f-603-flat-incline-utility-bench-for-free-weights-new,BodyCraft  F603 Flat / Incline Utility Bench for Free Weights (New),2025-03-11T04:01:14Z,2025-03-11T04:01:14Z,4,product_title|features|tech_specs|warranty_info,no,"Admin API bulkOperationRunQuery over metaobjects(type:""specs_features""){referencedBy{...}} returned zero back-reference metafields for this record; custom.features_specs is the only metafield definition store-wide validated against MetaobjectDefinition/7246479676, and no other metaobject definition field targets it."
136049623356,body-solid-bc-2-extra-pair-of-bar-catches-for-ppr-200-x-and-bfpr-100-new,Body-Solid BC2 Extra Pair of Bar Catches for PPR200X and BFPR100 (New),2025-03-05T08:19:24Z,2025-03-05T08:19:24Z,3,product_title|features|warranty_info,no,"Admin API bulkOperationRunQuery over metaobjects(type:""specs_features""){referencedBy{...}} returned zero back-reference metafields for this record; custom.features_specs is the only metafield definition store-wide validated against MetaobjectDefinition/7246479676, and no other metaobject definition field targets it."
136045953340,body-solid-bfdr-10-best-fitness-dumbbell-rack-new,Body Solid BFDR10 Best Fitness Dumbbell Rack (New),2025-03-05T06:53:51Z,2025-10-26T19:37:14Z,4,product_title|features|tech_specs|warranty_info,no,"Admin API bulkOperationRunQuery over metaobjects(type:""specs_features""){referencedBy{...}} returned zero back-reference metafields for this record; custom.features_specs is the only metafield definition store-wide validated against MetaobjectDefinition/7246479676, and no other metaobject definition field targets it."
136059126076,body-solid-bfvk-10-r-best-fitness-vertical-knee-raise-new,Body-Solid BFVK10R Best Fitness Vertical Knee Raise (New),2025-03-05T09:50:26Z,2025-10-26T19:37:16Z,4,product_title|features|tech_specs|warranty_info,no,"Admin API bulkOperationRunQuery over metaobjects(type:""specs_features""){referencedBy{...}} returned zero back-reference metafields for this record; custom.features_specs is the only metafield definition store-wide validated against MetaobjectDefinition/7246479676, and no other metaobject definition field targets it."
136683979068,body-solid-bstfb-12-fitness-bar-12-lbs-green-new,Body Solid BSTFB12 Fitness Bar 12 lbs. - Green (New),2025-03-11T08:34:41Z,2025-03-23T12:22:28Z,4,product_title|features|tech_specs|warranty_info,no,"Admin API bulkOperationRunQuery over metaobjects(type:""specs_features""){referencedBy{...}} returned zero back-reference metafields for this record; custom.features_specs is the only metafield definition store-wide validated against MetaobjectDefinition/7246479676, and no other metaobject definition field targets it."
136684273980,body-solid-bstfb-15-fitness-bar-15-lbs-red-new,Body Solid BSTFB15 Fitness Bar 15 lbs. - Red (New),2025-03-11T08:39:29Z,2025-03-23T12:30:17Z,4,product_title|features|tech_specs|warranty_info,no,"Admin API bulkOperationRunQuery over metaobjects(type:""specs_features""){referencedBy{...}} returned zero back-reference metafields for this record; custom.features_specs is the only metafield definition store-wide validated against MetaobjectDefinition/7246479676, and no other metaobject definition field targets it."
136684634428,body-solid-bstfb-18-fitness-bar-18-lbs-blue-new,Body Solid BSTFB18 Fitness Bar 18 lbs. - Blue (New),2025-03-11T08:45:34Z,2025-03-23T12:36:39Z,4,product_title|features|tech_specs|warranty_info,no,"Admin API bulkOperationRunQuery over metaobjects(type:""specs_features""){referencedBy{...}} returned zero back-reference metafields for this record; custom.features_specs is the only metafield definition store-wide validated against MetaobjectDefinition/7246479676, and no other metaobject definition field targets it."
136684798268,body-solid-bstfb-24-fitness-bar-24-lbs-purple-new,Body Solid BSTFB24 Fitness Bar 24 lbs. - Purple (New),2025-03-11T08:48:21Z,2025-03-23T12:46:52Z,4,product_title|features|tech_specs|warranty_info,no,"Admin API bulkOperationRunQuery over metaobjects(type:""specs_features""){referencedBy{...}} returned zero back-reference metafields for this record; custom.features_specs is the only metafield definition store-wide validated against MetaobjectDefinition/7246479676, and no other metaobject definition field targets it."
136684994876,body-solid-bstfb-30-fitness-bar-30-lbs-magenta-new,Body Solid BSTFB30 Fitness Bar 30 lbs. - Magenta (New),2025-03-11T08:51:25Z,2025-03-24T07:23:40Z,4,product_title|features|tech_specs|warranty_info,no,"Admin API bulkOperationRunQuery over metaobjects(type:""specs_features""){referencedBy{...}} returned zero back-reference metafields for this record; custom.features_specs is the only metafield definition store-wide validated against MetaobjectDefinition/7246479676, and no other metaobject definition field targets it."
136685093180,body-solid-bstfb-36-fitness-bar-36-lbs-gray-new,Body Solid BSTFB36 Fitness Bar 36 lbs. - Gray (New),2025-03-11T08:53:25Z,2025-03-24T07:30:14Z,4,product_title|features|tech_specs|warranty_info,no,"Admin API bulkOperationRunQuery over metaobjects(type:""specs_features""){referencedBy{...}} returned zero back-reference metafields for this record; custom.features_specs is the only metafield definition store-wide validated against MetaobjectDefinition/7246479676, and no other metaobject definition field targets it."
136685289788,body-solid-bstfb-4-fitness-bar-4-lbs-orange-new,Body Solid BSTFB4 Fitness Bar 4 lbs. - Orange (New),2025-03-11T08:55:49Z,2025-03-24T08:02:04Z,4,product_title|features|tech_specs|warranty_info,no,"Admin API bulkOperationRunQuery over metaobjects(type:""specs_features""){referencedBy{...}} returned zero back-reference metafields for this record; custom.features_specs is the only metafield definition store-wide validated against MetaobjectDefinition/7246479676, and no other metaobject definition field targets it."
